,video_id,title,viewCount,subscriberCount,channel_id
0,s8XjEuplx_U,Python Automation Tutorial – How to Automate Tasks for Beginners [Full Course],981887,7910000,UC8butISFwT-Wl7EV0hUK0BQ
1,PXMJ6FS7llk,Automate with Python – Full Course for Beginners,944811,7910000,UC8butISFwT-Wl7EV0hUK0BQ
2,bsq2YY-XAEo,【実演】めんどくさい業務をプログラミング（Python）で自動化する過程をお見せします,976926,139000,UC0xRMqPOyRNPTaL6BxhbCnQ
3,KmqEyT7HznQ,PythonでExcel自動化を行いたい人がまず見るべき講座｜PythonによるExcel自動操作入門 連結版,511493,139000,UC0xRMqPOyRNPTaL6BxhbCnQ
4,VRFfAeW30qE,【Webスクレイピング超入門】2時間で基礎を完全マスター！PythonによるWebスクレイピング入門 連結版,353864,139000,UC0xRMqPOyRNPTaL6BxhbCnQ
5,zmrbS98KXyo,【Python×自動化】PyAutoGUIを用いてPC操作の自動化方法を40分でわかりやすく解説！,119894,139000,UC0xRMqPOyRNPTaL6BxhbCnQ
6,Fef4GAYq9VA,【超本格的】Pythonで業務自動化を学びたい人がまず見るべき動画｜定期実行の仕組み構築までをわかりやすく解説,94568,139000,UC0xRMqPOyRNPTaL6BxhbCnQ
7,f8FXUUQ4uRA,【PythonによるWebスクレイピング入門】vol.01：ログインなどのブラウザ操作を自動化しよう（Selenium）,81612,139000,UC0xRMqPOyRNPTaL6BxhbCnQ
8,NvdAR1BFu30,【Python自動集約】PythonでExcel業務を自動化！（第1弾）複数の請求書Excelファイルを集約,79804,139000,UC0xRMqPOyRNPTaL6BxhbCnQ
9,arzfmSaJuPY,【実演】めんどい作業をプログラミング（Python）で効率化する過程をお見せします,77487,139000,UC0xRMqPOyRNPTaL6BxhbCnQ
10,m7GE16j3mxM,【数分で完了！】MacにPythonの環境を構築しよう！,49497,139000,UC0xRMqPOyRNPTaL6BxhbCnQ
11,bnmY8vZOKtg,【Excel自動集計】PythonでExcel業務を自動化したい人がまず見る動画 part2,47708,139000,UC0xRMqPOyRNPTaL6BxhbCnQ
12,0Rk2PhBxHO0,PythonでTwitterAPIを扱おう| Python活用シリーズ,42149,139000,UC0xRMqPOyRNPTaL6BxhbCnQ
13,u-qrnpq7OOE,【超有益】Pythonの定期実行についてわかりやすく解説！（ローカル・リモート環境編）,41097,139000,UC0xRMqPOyRNPTaL6BxhbCnQ
14,h0tYyIY0T2Y,【検証】プログラミングでビットコインを自動売買すると一週間でいくら稼げるのか？,719842,145000,UCMMjv61LfBy5J3AT8Ua0NGQ
15,ehv0aKhfZoY,知るだけで周りに差をつけるPythonを使った仕事の自動化アイディア３選,165376,145000,UCMMjv61LfBy5J3AT8Ua0NGQ
